flat_type,full_address,floor_type,square,price
1К,"ПравобережныйЛенина пр-т, 91/1",9/9,"32,5/17/7 м2",1 550 000 р.
3К,"ПравобережныйКарла Маркса, 123",6/9,"60,8/44,1/9 м2",3 560 000 р.
2Кбрежневка,"ПравобережныйКарла Маркса, 124/1",4/5,44/29/6 м2,2 900 000 р.
3К,"ПравобережныйСоветская, 153",5/5,"60,8/47/7 м2",3 700 000 р.
1К,"ОрджоникидзевскийТруда, 59/2",3/9,41/21/9 м2,3 250 000 р.
3Кленинградский проект,"ЛенинскийКалинина, 20",2/5,81/47/8 м2,4 900 000 р.
2К,Орджоникидзевский145/1,1/5,"49,4/34/9 м2",3 600 000 р.
2К,"Ленинскийул. Куйбышева, 20",1/3,53/36/8 м2,3 300 000 р.
2К,"ПравобережныйКарла Маркса, 111/2",4/5,46/30/6 м2,3 390 000 р.
2Кбрежневка,"ПравобережныйСоветской Армии, 5",5/5,44/29/7 м2,3 100 000 р.
3К,"Труда, 31",4/9,69/42/9 м2,5 170 000 р.
1Кнестандартная,"Орджоникидзевский50-летия Магнитки, 58",9/14,"36,1/18/9,5 м2",1 900 000 р.
3Кстарой планировки,"ЛенинскийМеталлургов, 2А",6/8,"82,9/61/9 м2",4 800 000 р.
2Кулучшенная,"ОрджоникидзевскийКарла Маркса, 179",9/9,"49,1/34/9 м2",3 650 000 р.
2Кбрежневка,"ПравобережныйИм. газеты ""Правда"", 52",4/5,"42,1/27/6 м2",2 950 000 р.
2К,"Зеленый Лог, 63",1/3,84/55/17 м2,5 870 000 р.
1К,"ул Николая Шишка, 20",2/5,"31,7/18/6 м2",2 350 000 р.
3К,"Зеленый Лог, 63",1/3,77/49/14 м2,5 200 000 р.
2К,"Советская, 127/2",4/5,45/31/6 м2,2 200 000 р.
2К,"ЛенинскийТургенева, 16/1",9/9,45/30/6 м2,2 200 000 р.
1К,"ПравобережныйЛенина пр-т, 88",6/16,"32,8/24/24 м2",3 550 000 р.
2Краздельная,"ПравобережныйМичурина, 95",2/5,"44,5/30/6 м2",3 050 000 р.
2К,"Карла Маркса, 208",4/9,"52,6/40/9 м2",3 750 000 р.
2К,"Зеленый Лог, 63",2/3,58/40/12 м2,4 000 000 р.
1К,"Ленина пр-т, 87А",8/10,39/17/13 м2,2 550 000 р.
3К,"Орджоникидзевский50-летия Магнитки, 33",5/9,74/0/10 м2,5 450 000 р.
2Ксталинский вариант,"ЛенинскийДостоевского, 24",1/2,45/27/7 м2,2 800 000 р.
2К,"Ленина пр-т, 87а",5/14,60/47/12 м2,4 000 000 р.
1К,"Ленина пр-т, 87а",7/14,50/0/12 м2,3 000 000 р.
,"Ленина пр-т, 87а",6/14,45/37/8 м2,2 800 000 р.
2К,"Доменщиков, 1",3/5,"45,8/30/6 м2",3 000 000 р.
1К,"Ленина пр-т, 218",1/1,"34,3/25/5 м2",1 850 000 р.
3К,"ОрджоникидзевскийТруда, 19",2/16,89/60/12 м2,6 400 000 р.
3К,"ЛенинскийУральская, 4/1",8/9,"58,6/35/8 м2",3 390 000 р.
3К,"Труда, 2",1/2,"63,4/0/0 м2",530 000 р.
3К,"ул Вокзальная, 130",4/5,53/25/6 м2,3 300 000 р.
1К,"ПравобережныйЛенина пр-т, 86\2",3/5,"31,9/19/6 м2",2 000 000 р.
2Кстарой планировки,"ЛенинскийЧапаева, 11",3/4,61/34/9 м2,3 600 000 р.
2Кхрущевка,"Орджоникидзевский (левый берег)70 лет Октября, 55",1/1,49/30/12 м2,2 300 000 р.
2Кгребенка,"ЛенинскийНабережная, 16",2/5,61/33/10 м2,4 400 000 р.
3К,"Правобережныйул. имени газеты Правда, 9",3/9,66/50/9 м2,3 850 000 р.
4Краспашонка,"ПравобережныйКарла Маркса, 138",5/5,62/50/6 м2,3 715 055 р.
2К,"ОрджоникидзевскийФадеева, 18",2/2,45/0/7 м2,1 800 000 р.
1К,ПравобережныйСоветский переулок 12,5/5,"33,9/17/9 м2",2 350 000 р.
2Кулучшенная,"ОрджоникидзевскийКарла Маркса, 237/2",6/9,"50/28,8/7 м2",2 900 000 р.
2Кулучшенная,"Орджоникидзевскийзеленый лог, 33",7/9,48/26/12 м2,3 100 000 р.
3К,"Орджоникидзевский (левый берег)Красноармейская, 5",2/3,42/29/6 м2,2 890 000 р.
,"Ленина пр-т, 2/2",1/1,"45,5/32/6 м2",
2К,"Советская, 129/1",1/5,"44,3/30/6 м2",2 800 000 р.
2К,"правобережныйул Помяловского, 7",4/5,"43,5/27/6 м2",2 650 000 р.
3К,"Орджоникидзевскийул Репина, 12",1/1,55/39/6 м2,
3К,"ЛенинскийЛенина пр-т, 18",4/5,"74,5/55/11 м2",4 510 000 р.
2К,Орджоникидзевскийул. Подольская,1/1,69/40/15 м2,4 290 000 р.
2К,"ул Зеленый лог, 30/1",1/10,73/50/12 м2,4 950 000 р.
2К,"Вокзальная, 2",2/2,52/45/7 м2,800 000 р.
1К,"Карла Маркса, 64/1",5/5,304/17/6 м2,2 100 000 р.
1К,"Набережная, 7/1",1/3,26/18/2 м2,3 250 000 р.
3Кстарой планировки,"ЛенинскийКарла Маркса, 18",2/5,"82,1/53/8,1 м2",4 400 000 р.
2Кбрежневка,"ПравобережныйГагарина, 15",3/9,42/27/6 м2,2 830 000 р.
2К,"ОрджоникидзевскийТруда, 61/1",5/10,"65,1/38/12 м2",5 600 000 р.
3К,"ПравобережныйСталеваров, 17/2",9/17,"152/67/19,3 м2",7 700 000 р.
1К,"ул. Курортная, 85к7",1/3,37/0/7 м2,3 800 000 р.
2К,"ОрджоникидзевскийСочинская, 45/1",2/3,"50/24/12,7 м2",3 650 000 р.
1К,"ПравобережныйСуворова, 95/1",2/5,"30,4/18/6 м2",2 230 000 р.
1К,"ОрджоникидзевскийКарла Маркса, 214",13/16,53/30/14 м2,3 100 000 р.
1К,"ул. Курортная, 8",4/5,35/20/4 м2,3 500 000 р.
2К,"ОрджоникидзевскийТруда, 35",5/9,49/30/9 м2,2 800 000 р.
3К,"Ленина пр-т, 10",3/4,"76,8/48/9 м2",4 999 000 р.
3К,"ул. Курортная, 23",2/2,90/60/7 м2,7 400 000 р.
2К,"ПравобережныйИм. газеты ""Правда"", 23",4/5,"46,1/29/6 м2",2 600 000 р.
1К,"Советская, 123А/1",10/10,318/17/8 м2,2 650 000 р.
3К,"ул Оранжерейная, 1/1",1/1,79/57/10 м2,7 000 000 р.
1К,"ул. Курортная, 10",3/5,"16,5/11/3 м2",2 330 000 р.
3К,сад Горняк,1/1,50/29/5 м2,550 000 р.
1К,"ЛенинскийПомяловского, 15/1",2/5,31/16/6 м2,1 850 000 р.
3К,Орджоникидзевский133/1,5/9,"109/66,7/13,1 м2",7 900 000 р.
2К,"ЛенинскийМосковская, 12/1",2/5,41/0/6 м2,2 590 000 р.
1К,"ОрджоникидзевскийЗеленый Лог, 35",8/10,"43,7/20/14 м2",3 400 000 р.
1К,"ЛенинскийПомяловского, 13",1/5,33/18/6 м2,1 950 000 р.
3К,"Советская, 5",1/1,"60,4/45/11 м2",700 000 р.
2К,"ЛенинскийКомсомольская, 37",2/4,"51,7/0/9 м2",2 950 000 р.
3Ксталинский вариант,"Орджоникидзевский (левый берег)Ржевского переулок, 9",2/5,68/53/6 м2,2 750 000 р.
2К,"Ленина пр-т, 102",5/5,"44,7/29/6,5 м2",2 900 000 р.
3К,"ОрджоникидзевскийЗеленый Лог, 30/1",2/10,109/70/16 м2,6 850 000 р.
2Кстарой планировки,"ЛенинскийЛенина пр-т, 17",3/3,55/33/6 м2,3 700 000 р.
4Краздельная,"ОрджоникидзевскийСоветская, 174",1/9,81/68/8 м2,4 100 000 р.
2К,"ЛенинскийВокзальная, 144/1",2/10,"40,6/0/5,6 м2",2 700 000 р.
2К,"ОрджоникидзевскийКарла Маркса, 218",3/10,"56,5/34,7/8,4 м2",3 800 000 р.
3К,"ЛенинскийЛенина пр-т, 52/3",5/5,46/29/6 м2,2 299 000 р.
2Кнестандартная,"ЛенинскийМеталлургов, 5",5/5,"56/33,5/9 м2",3 800 000 р.
2К,"ЛенинскийЛенинградская, 4",4/4,"55/32,5/9 м2",3 800 000 р.
3Кулучшенная,"ПравобережныйКарла Маркса, 170",5/9,"65,4/45/9 м2",4 250 000 р.
3К,"Чапаева, 13",5/5,76/50/8 м2,4 900 000 р.
2К,"Труда, 49/1",6/9,50/31/9 м2,3 300 000 р.
1Кнестандартная,"ОрджоникидзевскийТевосяна, 2",2/10,"43,1/18,8/11,1 м2",3 890 000 р.
1К,"Анджиевского, 36А",5/5,"37,8/19/10,1 м2",3 500 000 р.
1К,"Псекупская, 128",3/4,"42,7/14/10 м2",6 200 000 р.
2К,"ул. Габдрауфа Давлетова, 14",1/1,55/25/30 м2,1 250 000 р.
1К,"ул. Курортная, 6",2/4,23/17/0 м2,1 580 000 р.
2К,"ЛенинскийОктябрьская, 30",3/5,"44,2/35/6 м2",3 199 000 р.
2Краздельная,"ПравобережныйКарла Маркса, 111/1",3/5,44/30/6 м2,2 950 000 р.
2К,"Солнечный Берег, 10А",2/3,"59,6/32/12,9 м2",5 781 200 р.
1Ксвердловский вариант,"ОрджоникидзевскийКарла Маркса, 181",11/12,36/18/9 м2,2 000 000 р.
2К,"Центральная, 3",2/2,44/30/8 м2,470 000 р.
3К,"ОрджоникидзевскийКалмыкова, 3",7/9,"65,6/42/9 м2",3 650 000 р.
1К,"Центральная, 24",1/3,"21,9/18/1 м2",1 642 500 р.
2К,"ПравобережныйЗападное шоссе, 111",1/3,"47,6/47,6/25 м2",3 900 000 р.
2К,"Труда, 61",5/9,"63/38/11,4 м2",4 200 000 р.
2К,"орджоникидзевскийЧкалова, 13",4/4,"54,7/40/8 м2",2 150 000 р.
3К,"ул. Пушкина, 3",4/5,"62,7/47/7 м2",1 850 000 р.
2К,"Карла Маркса, 202",5/9,49/34/8 м2,3 700 000 р.
2К,14,0/1,100/65/25 м2,3 600 000 р.
4К,"ул. Тагира Кусимова, 1/2",1/2,69/50/6 м2,5 500 000 р.
2Кхрущевка ,"ПравобережныйИм. газеты ""Правда"", 30/1",1/5,"43,2/28/6,5 м2",2 649 899 р.
2К,"ЛенинскийЛомоносова, 34",1/4,60/40/9 м2,4 300 000 р.
2К,"ЛенинскийНиколая Шишка, 12",1/5,44/29/7 м2,2 850 000 р.
2К,"ЛенинскийЛенина пр-т, 24",1/5,42/30/6 м2,2 200 000 р.
3К,"Садовая, 7",1/2,59/35/8 м2,3 300 000 р.
2К,"ЛенинскийМосковская, 35",1/3,59/33/9 м2,2 550 000 р.
2К,"ЛенинскийУральская, 10/2",4/5,"62,8/38/9 м2",3 699 000 р.
2К,Ленина пр-т,5/5,"42,9/26/5,9 м2",4 800 000 р.
2К,"ОрджоникидзевскийКарла Маркса, 220/1",2/10,"56,5/35/9 м2",4 000 000 р.
1К,"ЛенинскийОктябрьская, 34",3/5,31/20/7 м2,1 950 000 р.
2К,"ЛенинскийМосковская, 43",2/4,"47,9/10/8 м2",3 990 000 р.
2К,"ОрджоникидзевскийЗеленый Лог, 69/1",2/3,"55,7/29,5/12,7 м2",3 287 000 р.
2К,"ОрджоникидзевскийЗеленый Лог, 69/1",2/3,"78/62,7/15 м2",4 446 000 р.
2К,"ОрджоникидзевскийСочинская, 47/1",2/3,50/36/12 м2,2 590 000 р.
1К,"Ленина пр-т, 213а",1/1,35/0/10 м2,1 850 000 р.
1К,"ул. Горнолыжная, 26",2/2,16/14/2 м2,1 350 000 р.
1К,"ПравобережныйЛенина пр-т, 87а",5/16,26/14/7 м2,3 145 000 р.
2К,"ул. Курортная, 33",1/5,"47,3/0/10 м2",3 000 000 р.
1К,"ул. Курортная, 3",2/5,"22,5/15/5 м2",1 580 000 р.
3К,"ПравобережныйЗападное шоссе, 95",1/2,"67,2/45/12 м2",5 000 000 р.
3Кнестандартная,"ЛенинскийНиколая Шишка, 22",5/5,74/56/9 м2,5 500 000 р.
2К,"Молодежная, 19А",1/5,"41/22,2/7,2 м2",930 000 р.
2Кулучшенная,"ОрджоникидзевскийСиреневый проезд, 10",3/9,50/30/9 м2,3 350 000 р.
3Кулучшенная,"ОрджоникидзевскийВорошилова, 35",7/9,65/43/9 м2,4 200 000 р.
3К,"ПравобережныйСоветской Армии, 51",8/9,67/47/9 м2,5 600 000 р.
4Кнестандартная,"Орджоникидзевский (правый берег)50 лет Магнитки, 66",7/13,86/55/9 м2,7 000 000 р.
