flat_type,full_address,floor_type,square,price
3Ксвердловский вариант,"ОрджоникидзевскийВорошилова, 13/1",4/13,65/43/10 м2,4 450 000 р.
3Кнестандартная,"ЛенинскийКазакова, 5",4/5,"73,9/50/12 м2",6 050 000 р.
1К,"ОрджоникидзевскийЗеленый Лог, 33/2",6/10,37/18/10 м2,2 950 000 р.
1К,"Московская, 81",1/3,323/17/6 м2,2 450 000 р.
1К,"ПравобережныйКарла Маркса, 136",8/9,"32,5/18/6 м2",2 700 000 р.
3К,"ЛенинскийСтроителей, 57",6/6,"72,8/44/8 м2",6 200 000 р.
1К,"Орджоникидзевский147Карла Маркса, 231/2",10/10,30/17/6 м2,2 800 000 р.
3Кнестандартная,"Ленинский (Левый берег)Маяковского, 64",4/5,"64,7/38/7 м2",3 500 000 р.
2К,"Мичурина, 99",3/5,45/30/6 м2,2 800 000 р.
2К,"Ленина пр-т, 129/1",4/10,57/36/9 м2,6 200 000 р.
3К,,2/9,66/48/9 м2,4 150 000 р.
1К,"ЛенинскийМосковская, 17/1",2/2,28/16/8 м2,1 600 000 р.
1К,"ул. Курортная, 81/1",1/2,45/37/4 м2,3 400 000 р.
1Кмалосемейка,"ПравобережныйЛенина пр-т, 98/1",7/9,"30,4/17/6 м2",1 790 000 р.
2Кулучшенная,"ОрджоникидзевскийВорошилова, 21",9/9,50/30/9 м2,3 490 000 р.
1Кбрежневка,"ПравобережныйГрязнова, 30",5/5,30/18/6 м2,1 950 000 р.
3Кулучшенная,"ОрджоникидзевскийТруда, 21",9/9,65/45/9 м2,4 250 000 р.
2Кстарой планировки,"ЛенинскийМеталлургов, 12",1/5,54/33/7 м2,2 900 000 р.
1Кулучшенная,"ОрджоникидзевскийЗеленый Лог, 21/1",7/10,"32/17/7,5 м2",2 570 000 р.
2Кнестандартная,"ОрджоникидзевскийСиреневый проезд, 12/1",7/9,"56,1/35/9 м2",4 590 000 р.
1Кнестандартная,"ОрджоникидзевскийКарла Маркса, 230/1",7/10,33/17/9 м2,2 550 000 р.
2Кстарой планировки,"ЛенинскийМеталлургов, 18/1",3/4,"51,7/30/8 м2",4 890 000 р.
2К,"Советская, 168",1/9,"58,6/31/12 м2",4 990 000 р.
1К,"ул Зеленый лог, 54",7/9,33/18/9 м2,2 850 000 р.
,"Карла Маркса, 119/1",2/5,41/0/6 м2,3 600 000 р.
1К,"ОрджоТевосяна, 27",2/9,34/18/9 м2,2 850 р.
1К,"ул Вознесенская, 7",8/10,"32,2/20/9 м2",2 900 000 р.
,"Карла Маркса, 117",2/5,41/26/6 м2,3 400 000 р.
1К,"Карла Маркса, 223",12/14,35/17/8 м2,2 300 000 р.
3К,"Сиреневый проезд, 12",2/9,65/0/9 м2,4 150 000 р.
,"ул Жукова, 17/1",4/9,"40,1/18/9 м2",3 100 000 р.
1К,"ул Московская, 26к3",1/4,"32,4/19/6 м2",2 100 000 р.
1К,33 ул. Курортная,2/4,"23,7/18/3 м2",3 332 000 р.
нестандартная,"Орджоникидзевский (левый берег)Пионерская, 4",3/4,91/70/10 м2,3 500 000 р.
4К,"ул. Торфяная, 5/2",2/2,"129,1/85/20 м2",6 990 000 р.
2К,"ПравобережныйИндустриальная, 20",5/5,42/30/6 м2,2 850 000 р.
2Кленинградский проект,"ЛенинскийСтроителей, 52",2/3,54/37/7 м2,3 200 000 р.
1К,"ЛенинскийЛенина пр-т, 192а",1/1,18/18/18 м2,1 100 000 р.
1К,"ЛенинскийЛенина пр-т, 129а",1/1,"35,7/25/10 м2",2 000 000 р.
3К,"ОрджоникидзевскийПушкина, 34",2/5,67/45/8 м2,3 000 000 р.
,"Ленина пр-т, 129А",1/1,220/150/20 м2,5 000 000 р.
3К,,5/5,"61,5/0/0 м2",3 700 000 р.
1К,"ПравобережныйСуворова, 128",5/9,34/20/7 м2,2 350 000 р.
2К,"ОрджоникидзевскийБориса Ручьева, 8/1",2/5,41/30/6 м2,2 900 000 р.
2К,"Орджоникидзевскийул.Кронштадтская, 11",1/1,35/25/10 м2,3 990 000 р.
2Кхрущевка,"ПравобережныйСоветская, 127/1",4/5,45/27/6 м2,3 300 000 р.
1К,"Ленина пр-т, 214Б",1/1,35/18/6 м2,1 850 000 р.
3К,"Карла Маркса, 233",6/10,"67/39,5/8,1 м2",4 830 000 р.
3Краздельная,"ОрджоникидзевскийКарла Маркса, 233",9/10,67/42/9 м2,4 600 000 р.
2Кбрежневка,"ПравобережныйСоветская, 137",1/5,44/28/6 м2,3 350 000 р.
1К,,7/9,32/18/8 м2,3 240 000 р.
3К,"ул Октябрьская, 32/1",5/5,51/0/6 м2,3 350 000 р.
2К,"Суворова, 136/1",2/5,"44,3/30/6 м2",2 980 000 р.
1К,"Ленина пр-т, 114/4",5/14,40/17/13 м2,2 650 000 р.
1К,"ЛенинскийЛенина пр-т, 18",2/4,"34,5/20/10 м2",2 242 500 р.
2Кстарой планировки,"ЛенинскийЛомоносова, 23",2/3,"55,6/33/9 м2",4 000 000 р.
2Кулучшенная,"ОрджоникидзевскийСиреневый проезд, 28",8/9,50/38/9 м2,4 850 000 р.
4Кгребенка,"Орджоникидзевский (левый берег)Красноармейская, 6",3/3,84/56/20 м2,3 950 000 р.
3Кулучшенная,"ПравобережныйКарла Маркса, 141/3",1/9,"64,6/45/9 м2",4 450 000 р.
2К,"Орджоникидзевскийул Зеленый лог, 23",8/10,45/30/6 м2,2 600 000 р.
,"Сиреневый проезд, 11/2",9/9,53/40/9 м2,3 500 000 р.
2К,"Лесная, 8А",4/5,"45,5/38/6 м2",2 400 000 р.
3К,"Советской Армии, 29/1",5/5,"61,5/45/6 м2",4 100 000 р.
3К,"ОрджоникидзевскийЛенина пр-т, 145/2",1/5,65/0/9 м2,3 500 000 р.
2К,"ПравобережныйКарла Маркса, 91",5/9,53/35/8 м2,4 100 000 р.
1К,"ЛенинскийПанькова, 3/1",1/3,26/13/7 м2,1 000 000 р.
3К,"ул Первомайская, 3",1/3,"67,9/47,7/6 м2",4 199 000 р.
4К,"Советская, 147/5",4/5,61/45/7 м2,4 050 000 р.
2К,"ОрджоникидзевскийТруда, 59/1",7/10,"62,6/38/12 м2",6 100 000 р.
3К,"ОрджоникидзевскийТруда, 14",8/9,80/53/9 м2,5 800 000 р.
2Кгребенка,"ЛенинскийСтроителей, 49",2/5,"56,2/30,2/8,5 м2",3 500 000 р.
1К,"Карла Маркса, 230/1",5/9,32/18/8 м2,2 520 000 р.
2К,"Жукова, 14/2",1/10,"57,1/35/10 м2",4 000 000 р.
2К,"Ленина пр-т, 37",2/5,52/30/8 м2,3 900 000 р.
3К,"Ленина пр-т, 33",3/5,"81,2/65/9 м2",5 200 000 р.
2К,"Правобережныйул Индустриальная, 15",1/1,"57,5/38/9 м2",4 800 000 р.
1К,"ул Мичурина, 136/2",6/9,"36,7/20/9 м2",3 250 000 р.
2К,"ул Дружбы, 17",5/5,44/0/6 м2,2 800 000 р.
1К,"ул Чекалина, 10",1/5,30/18/6 м2,2 000 000 р.
1К,"Привокзальная, 29кв1",1/1,"42,5/22/12 м2",400 000 р.
3К,"Ленина пр-т, 86",9/9,"65,2/0/0 м2",4 250 000 р.
3К,"ул Строителей, 49",3/4,95/60/10 м2,7 000 000 р.
2К,"ЛенинскийЛенина пр-т, 45/1",1/3,"51,1/33,4/8,7 м2",3 900 000 р.
1К,"ОрджоникидзевскийЛенина пр-т, 148",2/14,36/18/12 м2,2 800 000 р.
3К,"ЛенинскийСтроителей, 43",1/4,"81,4/50/25 м2",6 990 000 р.
2К,"Ленинский. Металлургов, 18/1",3/4,"51,4/30/6 м2",4 890 000 р.
3Кнестандартная,"ОрджоникидзевскийКарла Маркса, 233",10/11,67/39/9 м2,4 530 000 р.
3Кстарой планировки,"ЛенинскийЛенина пр-т, 23",3/3,"65,9/48/7,5 м2",3 900 000 р.
2К,"Ленина пр-т, 87А",4/10,60/47/12 м2,3 920 000 р.
1К,"Зеленый Лог, 63",2/3,41/18/15 м2,2 900 000 р.
3К,"Тевосяна, 25",3/9,66/49/9 м2,3 950 000 р.
1К,,2/3,41/22/9 м2,2 900 000 р.
2К,,2/3,57/40/12 м2,4 000 000 р.
1К,"Ленина пр-т, 87А",7/14,54/36/14 м2,3 170 000 р.
1К,"ул. Курортная, 8",3/4,"17,5/0/0 м2",2 430 000 р.
3К,"ОрджоникидзевскийСиреневый проезд, 24",5/9,68/42/9 м2,5 500 000 р.
3Кбрежневка,"ОрджоникидзевскийВорошилова, 29",5/9,58/42/7 м2,4 450 000 р.
1К,"Советской Армии, 39",1/5,30/17/6 м2,2 660 000 р.
1К,"Зеленый лог, 33",8/10,32/0/6 м2,2 450 000 р.
1К,"Ленина пр-т, 214Б",1/1,35/27/6 м2,2 000 000 р.
2К,"ОрджоникидзевскийКарла Маркса, 237/2",9/10,"48,4/0/6 м2",3 300 000 р.
2Кхрущевка,"Орджоникидзевский (левый берег)Трамвайная, 30",3/4,43/30/6 м2,2 500 000 р.
3К,"ЛенинскийКомсомольская, 28",3/4,"82,3/70/9 м2",4 910 000 р.
3К,"ПравобережныйЗападное шоссе, 103",2/3,"90,8/55/9 м2",7 300 000 р.
3К,"ОрджоникидзевскийДоменщиков, 25",5/5,63/52/7 м2,4 250 000 р.
